Fonte;Tema;Secao;Subsecao;Topico;Sintese;Contexto
painel-interativo-do-sistema-de-pi.md;Governanca e Visao Sistematica;Painel de PI;Categorias;Patentes;Patentes protegem invenções com solução técnica, novidade, atividade inventiva e aplicação industrial.;No painel, patentes aparecem como uma das modalidades centrais de proteção e se relacionam com produtos e processos técnicos.
painel-interativo-do-sistema-de-pi.md;Governanca e Visao Sistematica;Painel de PI;Categorias;Marcas;Marcas distinguem produtos e serviços e asseguram identidade no mercado.;No painel, marcas compõem o núcleo de sinais distintivos e se conectam a estratégia comercial e reputação institucional.
painel-interativo-do-sistema-de-pi.md;Governanca e Visao Sistematica;Painel de PI;Categorias;Desenhos Industriais;Desenhos industriais protegem forma ornamental e aspecto visual de produtos.;No painel, desenhos industriais aparecem como instrumento de proteção da aparência e diferenciação estética.
painel-interativo-do-sistema-de-pi.md;Governanca e Visao Sistematica;Painel de PI;Categorias;Indicacoes Geograficas;Indicações geográficas vinculam produtos e serviços à origem geográfica e reputação associada.;No painel, indicações geográficas são apresentadas como proteção territorial e de valor econômico regional.
painel-interativo-do-sistema-de-pi.md;Governanca e Visao Sistematica;Painel de PI;Categorias;Programas de Computador;Programas de computador contam com regime específico de registro.;No painel, software aparece como categoria própria de proteção, distinta de patente e marca.
painel-interativo-do-sistema-de-pi.md;Governanca e Visao Sistematica;Painel de PI;Categorias;Topografias de Circuitos Integrados;Topografias protegem a disposição tridimensional de elementos de circuitos integrados.;No painel, topografias são tratadas como proteção técnica especializada em microeletrônica.
painel-interativo-do-sistema-de-pi.md;Governanca e Visao Sistematica;Painel de PI;Categorias;Patrimonio Genetico e Conhecimentos Tradicionais;Há salvaguardas relacionadas a patrimônio genético e conhecimentos tradicionais associados.;No painel, esse eixo aparece como componente transversal de integridade, origem e conformidade regulatória.
painel-interativo-do-sistema-de-pi.md;Governanca e Visao Sistematica;Painel de PI;Categorias;Cultivares;Cultivares possuem regime de proteção próprio para variedades vegetais.;No painel, cultivares são destacadas como proteção específica no domínio agrobiotecnológico.
painel-interativo-do-sistema-de-pi.md;Governanca e Visao Sistematica;Painel de PI;Categorias;Composicoes Musicais e Obras Artisticas;Obras artísticas e composições estão no campo autoral, complementar à propriedade industrial.;O painel evidencia a fronteira entre direitos autorais e propriedade industrial para orientar o enquadramento correto.
painel-interativo-do-sistema-de-pi.md;Governanca e Visao Sistematica;Painel de PI;Categorias;Plantas Arquitetonicas e Projetos;Projetos arquitetônicos também integram o conjunto de ativos intelectuais protegíveis.;No painel, arquitetura aparece para ilustrar a amplitude das criações intelectuais além do escopo estrito industrial.
